timestamp,elapsed_sec,ram_used_gb,ram_total_gb,vram_used_gb,vram_total_gb,disk_read_mb_s,disk_write_mb_s,cpu_pct
1768766664.56,0.0,9.52,16.0,0.0,0.0,0.0,0.0,0.0
1768766665.06,0.5,9.51,16.0,0.0,0.0,46.37,0.16,35.1
1768766665.57,1.01,9.52,16.0,0.0,0.0,0.23,0.16,31.0
1768766666.07,1.51,9.44,16.0,0.0,0.0,0.47,0.0,28.5
1768766666.57,2.02,9.48,16.0,0.0,0.0,2.23,0.03,31.6
1768766667.07,2.52,9.48,16.0,0.0,0.0,0.94,0.0,25.5
1768766667.58,3.02,9.44,16.0,0.0,0.0,0.69,0.01,30.7
1768766668.08,3.53,9.42,16.0,0.0,0.0,0.43,0.0,26.1
1768766668.59,4.03,9.41,16.0,0.0,0.0,15.87,0.04,26.5
1768766669.09,4.54,9.45,16.0,0.0,0.0,3.3,0.01,27.4
1768766669.6,5.04,9.45,16.0,0.0,0.0,1.27,0.29,29.1
1768766670.1,5.55,9.46,16.0,0.0,0.0,0.28,0.11,32.8
1768766670.6,6.05,9.46,16.0,0.0,0.0,4.29,0.0,25.1
1768766671.11,6.55,9.45,16.0,0.0,0.0,0.22,0.0,24.5
1768766671.61,7.06,9.5,16.0,0.0,0.0,3.82,0.05,28.3
1768766672.12,7.56,9.52,16.0,0.0,0.0,0.37,0.7,22.5
1768766672.62,8.06,9.5,16.0,0.0,0.0,4.01,0.01,24.0
1768766673.13,8.57,9.41,16.0,0.0,0.0,0.04,0.0,22.9
1768766673.63,9.07,9.42,16.0,0.0,0.0,0.64,0.0,26.4
1768766674.13,9.57,9.43,16.0,0.0,0.0,5.18,0.12,28.1
1768766674.64,10.08,9.42,16.0,0.0,0.0,1.83,0.0,23.2
1768766675.14,10.58,9.44,16.0,0.0,0.0,0.45,0.34,24.7
1768766675.65,11.09,9.43,16.0,0.0,0.0,4.52,0.07,34.7
1768766676.15,11.59,9.44,16.0,0.0,0.0,8.2,0.06,27.2
1768766676.65,12.1,9.39,16.0,0.0,0.0,0.95,0.01,24.7
1768766677.16,12.6,9.4,16.0,0.0,0.0,0.57,0.0,25.0
1768766677.66,13.1,9.45,16.0,0.0,0.0,4.46,0.1,52.9
1768766678.17,13.61,9.45,16.0,0.0,0.0,0.03,0.0,27.9
1768766678.67,14.11,9.43,16.0,0.0,0.0,1.89,10.68,59.2
1768766679.18,14.62,9.5,16.0,0.0,0.0,19.76,0.02,59.5
1768766679.68,15.12,9.49,16.0,0.0,0.0,10.8,0.0,30.6
1768766680.18,15.62,9.38,16.0,0.0,0.0,0.5,0.0,22.5
1768766680.68,16.13,9.41,16.0,0.0,0.0,0.82,0.0,31.3
1768766681.19,16.63,9.41,16.0,0.0,0.0,0.59,0.0,25.2
1768766681.69,17.13,9.41,16.0,0.0,0.0,1.56,0.51,23.5
1768766682.19,17.63,9.42,16.0,0.0,0.0,0.34,2.38,22.8
1768766682.69,18.13,9.45,16.0,0.0,0.0,22.51,0.0,27.8
1768766683.19,18.64,9.5,16.0,0.0,0.0,0.46,0.0,27.7
1768766683.7,19.14,9.5,16.0,0.0,0.0,2.46,0.01,25.5
1768766684.2,19.64,9.46,16.0,0.0,0.0,0.5,0.12,18.9
1768766684.7,20.15,9.44,16.0,0.0,0.0,8.02,0.01,21.8
1768766685.21,20.65,9.43,16.0,0.0,0.0,0.15,0.02,25.4
1768766685.71,21.16,9.46,16.0,0.0,0.0,3.97,49.76,56.4
1768766686.22,21.66,9.47,16.0,0.0,0.0,0.01,56.49,36.9
1768766686.73,22.17,9.49,16.0,0.0,0.0,4.47,0.09,44.3
1768766687.23,22.68,9.37,16.0,0.0,0.0,0.03,0.0,24.8
1768766687.74,23.18,9.37,16.0,0.0,0.0,0.63,0.0,25.1
1768766688.24,23.69,9.38,16.0,0.0,0.0,0.25,0.0,25.2
1768766688.75,24.19,9.38,16.0,0.0,0.0,1.02,1.02,25.9
1768766689.25,24.69,9.4,16.0,0.0,0.0,0.41,4.71,27.4
1768766689.75,25.19,9.41,16.0,0.0,0.0,0.99,0.01,45.3
1768766690.25,25.7,9.41,16.0,0.0,0.0,0.24,0.0,28.3
1768766690.75,26.2,9.5,16.0,0.0,0.0,0.81,33.09,39.8
1768766691.26,26.7,9.49,16.0,0.0,0.0,0.19,10.63,22.2
1768766691.77,27.21,9.49,16.0,0.0,0.0,0.43,0.0,23.4
1768766692.27,27.71,9.43,16.0,0.0,0.0,0.2,0.0,36.9
1768766692.77,28.22,9.43,16.0,0.0,0.0,0.93,0.02,22.6
1768766693.28,28.72,9.37,16.0,0.0,0.0,0.96,0.09,23.0
1768766693.78,29.22,9.37,16.0,0.0,0.0,3.52,0.01,24.6
1768766694.28,29.73,9.38,16.0,0.0,0.0,0.12,0.0,23.2
1768766694.79,30.23,9.38,16.0,0.0,0.0,3.59,0.02,22.6
