timestamp,elapsed_sec,ram_used_gb,ram_total_gb,vram_used_gb,vram_total_gb,disk_read_mb_s,disk_write_mb_s,cpu_pct
1768783939.47,0.1,9.37,16.0,6.17,16.0,0.0,0.0,100.0
1768783940.82,1.46,9.33,16.0,6.17,16.0,0.0,0.0,100.0
1768783942.19,2.82,9.5,16.0,6.17,16.0,0.0,0.0,100.0
1768783943.56,4.2,9.32,16.0,6.17,16.0,0.0,0.0,100.0
1768783944.94,5.57,9.31,16.0,6.18,16.0,0.0,0.0,100.0
1768783946.31,6.94,9.31,16.0,6.18,16.0,0.0,0.0,100.0
1768783947.67,8.31,9.31,16.0,6.18,16.0,0.0,0.0,100.0
1768783949.05,9.68,9.34,16.0,6.18,16.0,0.0,0.0,100.0
1768783950.42,11.06,9.35,16.0,6.18,16.0,0.0,0.0,100.0
1768783951.79,12.43,9.36,16.0,6.18,16.0,0.0,0.0,100.0
1768783953.26,13.89,9.41,16.0,6.18,16.0,0.0,0.0,100.0
1768783954.64,15.27,9.41,16.0,6.18,16.0,0.0,0.0,100.0
1768783956.02,16.66,9.37,16.0,6.19,16.0,0.0,0.0,100.0
1768783957.4,18.03,9.34,16.0,6.19,16.0,0.0,0.0,100.0
1768783958.78,19.41,9.38,16.0,6.19,16.0,0.0,0.0,100.0
1768783960.15,20.78,9.35,16.0,6.19,16.0,0.0,0.0,100.0
1768783961.55,22.18,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768783962.92,23.56,9.48,16.0,6.19,16.0,0.0,0.0,100.0
1768783964.3,24.93,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768783965.7,26.33,9.34,16.0,6.19,16.0,0.0,0.0,100.0
1768783967.07,27.71,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768783968.48,29.11,9.35,16.0,6.19,16.0,0.0,0.0,100.0
1768783969.85,30.49,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768783971.24,31.87,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768783972.64,33.28,9.42,16.0,6.2,16.0,0.0,0.0,100.0
1768783974.03,34.67,9.43,16.0,6.2,16.0,0.0,0.0,100.0
1768783975.5,36.14,9.42,16.0,6.2,16.0,0.0,0.0,100.0
1768783976.91,37.54,9.42,16.0,6.2,16.0,0.0,0.0,100.0
1768783978.37,39.01,9.42,16.0,6.2,16.0,0.0,0.0,100.0
1768783979.75,40.39,9.49,16.0,6.2,16.0,0.0,0.0,100.0
1768783981.15,41.78,9.41,16.0,6.2,16.0,0.0,0.0,100.0
1768783982.53,43.17,9.37,16.0,6.2,16.0,0.0,0.0,100.0
1768783983.94,44.58,9.37,16.0,6.2,16.0,0.0,0.0,100.0
1768783985.36,46.0,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768783986.75,47.39,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768783988.17,48.81,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768783989.56,50.2,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768783990.95,51.59,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768783992.39,53.02,9.4,16.0,6.2,16.0,0.0,0.0,100.0
1768783993.79,54.42,9.41,16.0,6.2,16.0,0.0,0.0,100.0
1768783995.22,55.85,9.41,16.0,6.2,16.0,0.0,0.0,100.0
1768783996.74,57.38,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768783998.14,58.77,9.4,16.0,6.2,16.0,0.0,0.0,100.0
1768783999.54,60.17,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784000.98,61.61,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784002.41,63.04,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784003.85,64.48,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784005.33,65.96,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784006.72,67.36,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784008.12,68.75,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784009.53,70.16,9.37,16.0,6.21,16.0,0.0,0.0,100.0
1768784010.93,71.56,9.33,16.0,6.21,16.0,0.0,0.0,100.0
1768784012.32,72.96,9.34,16.0,6.2,16.0,0.0,0.0,100.0
1768784013.88,74.51,9.37,16.0,6.2,16.0,0.0,0.0,100.0
1768784015.28,75.91,9.35,16.0,6.2,16.0,0.0,0.0,100.0
1768784016.69,77.32,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784018.1,78.73,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784019.5,80.13,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784020.9,81.53,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784022.32,82.96,9.37,16.0,6.2,16.0,0.0,0.0,100.0
1768784023.75,84.39,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784025.15,85.79,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784026.56,87.19,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784028.02,88.66,9.36,16.0,6.2,16.0,0.0,0.0,100.0
1768784029.42,90.05,9.37,16.0,6.2,16.0,0.0,0.0,100.0
1768784030.81,91.44,9.33,16.0,6.2,16.0,0.0,0.0,100.0
1768784032.2,92.84,9.37,16.0,6.19,16.0,0.0,0.0,100.0
1768784033.59,94.23,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768784035.0,95.64,9.35,16.0,6.18,16.0,0.0,0.0,100.0
1768784036.51,97.15,9.35,16.0,6.19,16.0,0.0,0.0,100.0
1768784037.91,98.55,9.35,16.0,6.19,16.0,0.0,0.0,100.0
1768784039.31,99.94,9.35,16.0,6.19,16.0,0.0,0.0,100.0
1768784040.72,101.35,9.38,16.0,6.18,16.0,0.0,0.0,100.0
1768784042.13,102.76,9.31,16.0,6.18,16.0,0.0,0.0,100.0
1768784043.52,104.16,9.27,16.0,6.18,16.0,0.0,0.0,100.0
1768784044.92,105.56,9.27,16.0,6.18,16.0,0.0,0.0,100.0
1768784046.33,106.97,9.27,16.0,6.18,16.0,0.0,0.0,100.0
1768784047.74,108.37,9.27,16.0,6.18,16.0,0.0,0.0,100.0
1768784049.14,109.77,9.25,16.0,6.18,16.0,0.0,0.0,100.0
1768784050.55,111.18,9.28,16.0,6.18,16.0,0.0,0.0,100.0
1768784051.97,112.61,9.29,16.0,6.18,16.0,0.0,0.0,100.0
1768784053.4,114.04,9.32,16.0,6.19,16.0,0.0,0.0,26.8
1768784054.85,115.48,9.4,16.0,6.19,16.0,0.0,0.0,100.0
1768784056.24,116.87,9.36,16.0,6.19,16.0,0.0,0.0,100.0
1768784057.63,118.26,9.41,16.0,6.19,16.0,0.0,0.0,100.0
1768784059.02,119.66,9.41,16.0,6.19,16.0,0.0,0.0,100.0
1768784060.44,121.07,9.41,16.0,6.19,16.0,0.0,0.0,100.0
1768784061.9,122.54,9.42,16.0,6.19,16.0,0.0,0.0,100.0
1768784063.33,123.96,9.41,16.0,6.19,16.0,0.0,0.0,100.0
1768784064.78,125.41,9.38,16.0,6.19,16.0,0.0,0.0,100.0
1768784066.19,126.83,9.4,16.0,6.19,16.0,0.0,0.0,100.0
1768784067.72,128.36,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768784069.22,129.86,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768784070.64,131.27,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768784072.04,132.68,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768784073.56,134.2,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768784074.99,135.62,9.39,16.0,6.2,16.0,0.0,0.0,100.0
1768784076.42,137.06,9.38,16.0,6.2,16.0,0.0,0.0,100.0
1768784077.93,138.57,9.38,16.0,6.18,16.0,0.0,0.0,100.0
1768784079.42,140.06,9.36,16.0,6.18,16.0,0.0,0.0,100.0
1768784080.84,141.47,9.36,16.0,6.18,16.0,0.0,0.0,100.0
1768784082.27,142.91,9.35,16.0,6.18,16.0,0.0,0.0,100.0
1768784083.68,144.31,9.35,16.0,6.19,16.0,0.0,0.0,100.0
1768784085.1,145.74,9.35,16.0,6.19,16.0,0.0,0.0,100.0
