timestamp,context_len,success,ttft_ms,total_latency_ms,output_tokens,tps_overall,tps_decode,error
1768804761.533463,2048,True,126.56,2811.51,51,18.14,18.62,
1768804764.345021,2048,True,119.73,2720.13,51,18.75,19.23,
1768804790.030316,4096,True,12190.24,14820.16,51,3.44,19.01,
1768804804.850562,4096,True,12308.4,14911.36,51,3.42,19.21,
1768804832.8382561,6144,True,12694.42,15335.8,51,3.33,18.93,
1768804848.1741009,6144,True,13451.92,16097.17,51,3.17,18.9,
1768804878.147001,8192,True,13396.42,16048.61,51,3.18,18.85,
1768804894.195769,8192,True,13560.42,16195.28,51,3.15,18.98,
1768804924.5217652,10240,True,13648.11,16285.61,51,3.13,18.96,
1768804940.807457,10240,True,13808.24,16455.01,51,3.1,18.89,
1768804971.641354,12288,True,13867.62,16518.66,51,3.09,18.86,
1768804988.16082,12288,True,14142.06,16798.19,51,3.04,18.82,
